AreaType,AreaCode,RegionId,Code,Description
Area,18,4,LDF,Distant Waters
Area,21,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubArea,21.1,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubArea,21.2,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubArea,21.3,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubArea,21.4,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubArea,21.5,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubArea,21.6,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubArea,27.1,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubArea,27.10,3,NAtl                                      ,North Atlantic                                                                                      
SubArea,27.12,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubArea,27.14,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubArea,27.2,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubArea,27.4,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubArea,27.6,3,NAtl                                      ,North Atlantic                                                                                      
SubArea,27.8,3,NAtl                                      ,North Atlantic                                                                                      
SubArea,27.9,3,NAtl                                      ,North Atlantic                                                                                      
Area,31,4,LDF,Distant Waters
Area,34,4,LDF,Distant Waters
SubArea,34.1,4,LDF,Distant Waters
SubArea,34.2,4,LDF,Distant Waters
SubArea,34.3,4,LDF,Distant Waters
SubArea,34.4,4,LDF,Distant Waters
Area,37,5,MED,Mediterranean and Black Sea
SubArea,37.1,5,MED,Mediterranean and Black Sea
SubArea,37.2,5,MED,Mediterranean and Black Sea
SubArea,37.3,5,MED,Mediterranean and Black Sea
SubArea,37.4,5,MED,Mediterranean and Black Sea
Area,41,4,LDF,Distant Waters
SubArea,41.1,4,LDF,Distant Waters
SubArea,41.2,4,LDF,Distant Waters
SubArea,41.3,4,LDF,Distant Waters
Area,47,4,LDF,Distant Waters
SubArea,47.1,4,LDF,Distant Waters
SubArea,47.2,4,LDF,Distant Waters
Area,48,4,LDF,Distant Waters
SubArea,48.1,4,LDF,Distant Waters
SubArea,48.2,4,LDF,Distant Waters
SubArea,48.3,4,LDF,Distant Waters
SubArea,48.4,4,LDF,Distant Waters
SubArea,48.5,4,LDF,Distant Waters
SubArea,48.6,4,LDF,Distant Waters
Area,51,4,LDF,Distant Waters
SubArea,51.1,4,LDF,Distant Waters
SubArea,51.2,4,LDF,Distant Waters
SubArea,51.3,4,LDF,Distant Waters
SubArea,51.4,4,LDF,Distant Waters
SubArea,51.5,4,LDF,Distant Waters
SubArea,51.6,4,LDF,Distant Waters
SubArea,51.7,4,LDF,Distant Waters
SubArea,51.8,4,LDF,Distant Waters
Area,57,4,LDF,Distant Waters
SubArea,57.1,4,LDF,Distant Waters
SubArea,57.2,4,LDF,Distant Waters
SubArea,57.3,4,LDF,Distant Waters
SubArea,57.4,4,LDF,Distant Waters
SubArea,57.5,4,LDF,Distant Waters
SubArea,57.6,4,LDF,Distant Waters
Area,58,4,LDF,Distant Waters
SubArea,58.4,4,LDF,Distant Waters
SubArea,58.5,4,LDF,Distant Waters
SubArea,58.6,4,LDF,Distant Waters
SubArea,58.7,4,LDF,Distant Waters
Area,61,4,LDF,Distant Waters
Area,67,4,LDF,Distant Waters
Area,71,4,LDF,Distant Waters
Area,77,4,LDF,Distant Waters
Area,81,4,LDF,Distant Waters
Area,87,4,LDF,Distant Waters
SubArea,87.1,4,LDF,Distant Waters
SubArea,87.2,4,LDF,Distant Waters
SubArea,87.3,4,LDF,Distant Waters
Area,88,4,LDF,Distant Waters
SubArea,88.1,4,LDF,Distant Waters
SubArea,88.2,4,LDF,Distant Waters
SubArea,88.3,4,LDF,Distant Waters
Division,21.0.A,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.0.B,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.1.A,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.1.B,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.1.C,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.1.D,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.1.E,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.1.F,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.2.G,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.2.H,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.2.J,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.3.K,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.3.L,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.3.M,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.3.N,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.3.O,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.3.P,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,21.3.P.n,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,21.3.P.s,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.4.R,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.4.S,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.4.T,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.4.V,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,21.4.V.n,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,21.4.V.s,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.4.W,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.4.X,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.5.Y,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.5.Z,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,21.5.Z.c,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,21.5.Z.e,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,21.5.Z.u,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,21.5.Z.w,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.6.A,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.6.B,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.6.C,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.6.D,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.6.E,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.6.F,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.6.G,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,21.6.H,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,27.1.a,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,27.1.b,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,27.10.a,3,NAtl                                      ,North Atlantic                                                                                      
SubDivision,27.10.a.1,3,NAtl                                      ,North Atlantic                                                                                      
SubDivision,27.10.a.2,3,NAtl                                      ,North Atlantic                                                                                      
Division,27.10.b,3,NAtl                                      ,North Atlantic                                                                                      
SubDivision,27.10.b.1,3,NAtl                                      ,North Atlantic                                                                                      
SubDivision,27.10.b.2,3,NAtl                                      ,North Atlantic                                                                                      
Division,27.12.a,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,27.12.a.1,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,27.12.a.2,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,27.12.a.3,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,27.12.a.4,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,27.12.b,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,27.12.c,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,27.14.a,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,27.14.b,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,27.14.b.1,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,27.14.b.2,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,27.2.a,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,27.2.a.1,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,27.2.a.2,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,27.2.b,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,27.2.b.1,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,27.2.b.2,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,27.3.a,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,27.3.a.20,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
SubDivision,27.3.a.21,2,NSEA                                    ,North Sea and Eastern Arctic                                                                        
Division,27.3.b,,BALT,Baltic Sea                                                                                          
SubDivision,27.3.b.23,1,BALT,Baltic Sea                                                                                          
Division,27.3.bc,1,BALT,Baltic Sea                                                                                          
