RCG,NEW_metier_level_6,OLD_metier_level_6
NAtl,DRB_MOL_>0_0_0,DRB_MOL_>0_0_0
NAtl,DRB_MOL_>0_0_0,DRB_MOL_0_0_0
NAtl,DRB_MOL_>0_0_0,DRB_MOL_30_0_0
NAtl,FPO_CAT_>0_0_0,FPO_CAT_>0_0_0
NAtl,FPO_CRU_>0_0_0,FPO_CRU_>0_0_0
NAtl,FPO_CRU_>0_0_0,FPO_CRU_0_0_0
NAtl,FPO_CRU_>0_0_0,FPO_CRU_ALL_0_0
NAtl,FPO_FIF_>0_0_0,FPO_FIF_>0_0_0
NAtl,FPO_FIF_>0_0_0,FPO_FIF_0_0_0
NAtl,FPO_DEF_>0_0_0,FPO_DEF_>0_0_0
NAtl,FPO_MOL_>0_0_0,FPO_MOL_>0_0_0
NAtl,FPO_MOL_>0_0_0,FPO_MOL_0_0_0
NAtl,FPO_MOL_>0_0_0,FPO_MOL_>=29_0_0
NAtl,FYK_CAT_>0_0_0,FYK_CAT_0_0_0
NAtl,FYK_DEF_>0_0_0,FYK_DEF_0_0_0
NAtl,GND_DEF_10-30_0_0,GND_DEF_10-30_0_0
NAtl,GND_DEF_10-30_0_0,GND_DEF_<40_0_0
NAtl,GND_DEF_31-39_0_0,GND_DEF_31-49_0_0
NAtl,GND_DEF_40-49_0_0,GND_DEF_40-49_0_0
NAtl,GND_DEF_50-59_0_0,GND_DEF_50-59_0_0
NAtl,GND_DEF_50-59_0_0,GND_DEF_50-70_0_0
NAtl,GND_DEF_60-69_0_0,GND_DEF_60-79_0_0
NAtl,GND_DEF_70-79_0_0,GND_DEF_71-89_0_0
NAtl,GND_DEF_80-89_0_0,GND_DEF_80-99_0_0
NAtl,GND_DEF_90-99_0_0,
NAtl,GND_DEF_100-119_0_0,GND_DEF_100-119_0_0
NAtl,GND_DEF_100-119_0_0,GND_DEF_>=100_0_0
NAtl,GND_DEF_120-219_0_0,GND_DEF_120-219_0_0
NAtl,GND_DEF_>=220_0_0,
NAtl,GND_DEF_>0_0_0,GND_DEF_0_0_0
NAtl,GND_SPF_10-30_0_0,GND_SPF_10-30_0_0
NAtl,GND_SPF_31-39_0_0,GND_SPF_31-49_0_0
NAtl,GND_SPF_31-39_0_0,GND_SPF_<40_0_0
NAtl,GND_SPF_40-49_0_0,GND_SPF_40-49_0_0
NAtl,GND_SPF_50-59_0_0,GND_SPF_50-59_0_0
NAtl,GND_SPF_50-59_0_0,GND_SPF_50-70_0_0
NAtl,GND_SPF_60-69_0_0,
NAtl,GND_SPF_70-79_0_0,GND_SPF_71-89_0_0
NAtl,GND_SPF_80-89_0_0,
NAtl,GND_SPF_90-99_0_0,GND_SPF_90-99_0_0
NAtl,GND_SPF_100-119_0_0,GND_SPF_100-119_0_0
NAtl,GND_SPF_100-119_0_0,GND_SPF_>=100_0_0
NAtl,GND_SPF_120-219_0_0,GND_SPF_120-219_0_0
NAtl,GND_SPF_>=220_0_0,
NAtl,GND_SPF_>0_0_0,GND_SPF_0_0_0
NAtl,GNS_CAT_>0_0_0,GNS_CAT_>0_0_0
NAtl,GNS_CRU_10-30_0_0,GNS_CRU_10-30_0_0
NAtl,GNS_CRU_31-39_0_0,GNS_CRU_31-49_0_0
NAtl,GNS_CRU_31-39_0_0,GNS_CRU_<40_0_0
NAtl,GNS_CRU_40-49_0_0,GNS_CRU_40-49_0_0
NAtl,GNS_CRU_50-59_0_0,GNS_CRU_50-59_0_0
NAtl,GNS_CRU_50-59_0_0,GNS_CRU_50-70_0_0
NAtl,GNS_CRU_60-69_0_0,GNS_CRU_60-79_0_0
NAtl,GNS_CRU_70-79_0_0,GNS_CRU_71-89_0_0
NAtl,GNS_CRU_80-89_0_0,GNS_CRU_80-99_0_0
NAtl,GNS_CRU_90-99_0_0,GNS_CRU_90-99_0_0
NAtl,GNS_CRU_100-119_0_0,GNS_CRU_100-119_0_0
NAtl,GNS_CRU_100-119_0_0,GNS_CRU_>=100_0_0
NAtl,GNS_CRU_120-219_0_0,GNS_CRU_120-219_0_0
NAtl,GNS_CRU_>=220_0_0,GNS_CRU_>=220_0_0
NAtl,GNS_CRU_>0_0_0,GNS_CRU_>0_0_0
NAtl,GNS_CRU_>0_0_0,GNS_CRU_0_0_0
NAtl,GNS_CRU_>0_0_0,GNS_CRU_<10_0_0
NAtl,GNS_DEF_10-30_0_0,GNS_DEF_10-30_0_0
NAtl,GNS_DEF_31-39_0_0,GNS_DEF_31-49_0_0
NAtl,GNS_DEF_31-39_0_0,GNS_DEF_<40_0_0
NAtl,GNS_DEF_40-49_0_0,GNS_DEF_40-49_0_0
NAtl,GNS_DEF_50-59_0_0,GNS_DEF_50-59_0_0
NAtl,GNS_DEF_50-59_0_0,GNS_DEF_50-70_0_0
NAtl,GNS_DEF_60-69_0_0,GNS_DEF_60-79_0_0
NAtl,GNS_DEF_70-79_0_0,GNS_DEF_71-89_0_0
NAtl,GNS_DEF_80-89_0_0,GNS_DEF_80-99_0_0
NAtl,GNS_DEF_90-99_0_0,GNS_DEF_90-99_0_0
NAtl,GNS_DEF_100-119_0_0,GNS_DEF_100-119_0_0
NAtl,GNS_DEF_100-119_0_0,GNS_DEF_>=100_0_0
NAtl,GNS_DEF_120-219_0_0,GNS_DEF_120-219_0_0
NAtl,GNS_DEF_120-219_0_0,GNS_DEF_>=157_0_0
NAtl,GNS_DEF_>=220_0_0,GNS_DEF_>=220_0_0
NAtl,GNS_DEF_>0_0_0,GNS_DEF_0_0_0
NAtl,GNS_DEF_>0_0_0,GNS_DEF_<10_0_0
NAtl,GNS_DWS_10-30_0_0,GNS_DWS_10-30_0_0
NAtl,GNS_DWS_31-39_0_0,GNS_DWS_31-49_0_0
NAtl,GNS_DWS_40-49_0_0,
NAtl,GNS_DWS_50-59_0_0,GNS_DWS_50-70_0_0
NAtl,GNS_DWS_60-69_0_0,
NAtl,GNS_DWS_70-79_0_0,GNS_DWS_71-89_0_0
NAtl,GNS_DWS_80-89_0_0,
NAtl,GNS_DWS_90-99_0_0,GNS_DWS_90-99_0_0
NAtl,GNS_DWS_100-119_0_0,GNS_DWS_100-119_0_0
NAtl,GNS_DWS_100-119_0_0,GNS_DWS_>=100_0_0
NAtl,GNS_DWS_120-219_0_0,GNS_DWS_120-219_0_0
NAtl,GNS_DWS_>=220_0_0,GNS_DWS_>=220_0_0
NAtl,GNS_DWS_>0_0_0,GNS_DWS_<10_0_0
NAtl,GNS_SPF_10-30_0_0,GNS_SPF_10-30_0_0
NAtl,GNS_SPF_31-39_0_0,GNS_SPF_31-49_0_0
NAtl,GNS_SPF_31-39_0_0,GNS_SPF_<40_0_0
NAtl,GNS_SPF_40-49_0_0,GNS_SPF_40-49_0_0
NAtl,GNS_SPF_50-59_0_0,GNS_SPF_50-59_0_0
NAtl,GNS_SPF_50-59_0_0,GNS_SPF_50-70_0_0
NAtl,GNS_SPF_60-69_0_0,GNS_SPF_60-79_0_0
NAtl,GNS_SPF_70-79_0_0,GNS_SPF_71-89_0_0
NAtl,GNS_SPF_80-89_0_0,GNS_SPF_80-99_0_0
NAtl,GNS_SPF_90-99_0_0,GNS_SPF_90-99_0_0
NAtl,GNS_SPF_100-119_0_0,GNS_SPF_100-119_0_0
NAtl,GNS_SPF_100-119_0_0,GNS_SPF_>=100_0_0
NAtl,GNS_SPF_120-219_0_0,GNS_SPF_120-219_0_0
NAtl,GNS_SPF_120-219_0_0,GNS_SPF_>=157_0_0
