Species;Area;RefYears;Croatia;Cyprus ;France;Greece;Italy;Malta;Slovenia;Spain;Romania;Bulgaria;Total average landings (t)
Anguilla anguilla;all areas in the Med;2013-2015;0.5;0;275.9;0.1;26.2;0;0;5.3;0;0;308
Aristaeomorpha foliacea;all areas in the Med;2013-2015;0;0;0;26.2;2481.6;31.4;0;0.2;0;0;2539.4
Aristeus antennatus;all areas in the Med;2013-2015;0;0.1;0;0;638.7;3.2;0;1065.9;0;0;1707.9
Boops boops;1.3, 2.1, 2.2, 3.1, 3.2;2013-2015;85.4;100;149.7;1493.9;1265.5;40.1;0.6;466.5;0;0;3601.7
Coryphaena equiselis;all areas in the Med;2013-2015;0;0;0;0;0;0;0;0;0;0;0
Coryphaena hippurus;all areas in the Med;2013-2015;1;0.5;0.2;17.3;785.9;308;0;132;0;0;1244.8
Dicentrarchus labrax;all areas in the Med;2013-2015;7;7.6;177.2;71.9;213.8;0.1;2.6;91.3;0;0;571.4
Eledone cirrhosa;1.1, 1.3, 2.1, 2.2, 3.1;2013-2015;485.4;0;0;0;1898.3;0;0;1470.3;0;0;3854.1
Eledone moschata;1.3, 2.1, 2.2, 3.1;2013-2015;97.1;0;0;391.5;2717.4;0.8;14.5;294.5;0;0;3515.8
Engraulis encrasicolus;all areas in the Med;2013-2015;10342.9;2.8;366.3;7405.7;33005.8;0.2;23.1;19240.6;0;0;70387.4
Engraulis encrasicolus;Black Sea GSA 29;2013-2015;0;0;0;0;0;0;0;0;60.8;130.7;191.5
Eutrigla gurnardus;2.2, 3.1;2013-2015;0;0;22.3;0;23.3;1.9;0;35;0;0;82.5
Illex spp., Todarodes spp.;all areas in the Med;2013-2015;0;1.6;169.1;695.6;2108.8;0;0;1011.8;0;0;3986.9
Istiophoridae;all areas in the Med;2013-2015;0;0.1;0;0;27.2;0;0;0.1;0;0;27.5
Loligo vulgaris;all areas in the Med;2013-2015;144.5;11.6;143.5;293.6;1429.4;15.3;10.4;355.9;0;0;2404.2
Lophius budegassa;1.1, 1.2, 1.3, 2.2, 3.1;2013-2015;0;0.9;476.8;405.5;264.3;1.9;0;1198.9;0;0;2348.2
Lophius piscatorius;1.1, 1.2, 1.3, 2.2, 3.1;2013-2015;0;0;18.1;278.9;451.6;4.3;0;357.7;0;0;1110.5
Lophius spp.;1.1, 1.2, 1.3, 2.2, 3.1;2013-2015;0;0.9;494.9;684.3;715.9;6.2;0;1556.6;0;0;3458.8
Merlangius merlangus;Black Sea GSA 29;2013-2015;0;0;0;;0;0;0;0;0.3;4.1;4.4
Merluccius merluccius;all areas in the Med;2013-2015;933.2;9.5;1437.7;2685.7;9165.4;24;1.1;2968.4;0;0;17225.1
Micromesistius poutassou;1.1, 3.1;2013-2015;0;0;12.8;409.2;0;0;0;1331.1;0;0;1753.1
Mugilidae;1.3, 2.1, 2.2, 3.1;2013-2015;96;0;288.4;101.9;1685.9;0.9;15.7;444;0;0;2632.7
Mullus barbatus;all areas in the Med;2013-2015;1138.2;29.8;97.8;2001.3;5888.5;25.3;3;1532.6;0;0;10716.7
Mullus barbatus;Black Sea GSA 29;2013-2015;0;0;0;0;0;0;0;0;5.4;406.9;412.3
Mullus surmuletus;all areas in the Med;2013-2015;20.2;48.1;306;1269.1;1687.6;35.6;0.3;588.5;0;0;3955.3
