MS;refYears;spp;region;RFMO;area;select;landings;TAC;shareLanding;Thresh;Comments;Comments2
DK;2016-2018;Anguilla anguilla;Baltic Sea;ICES;22-32;Yes;186;-;41%;No;-;NA
DK;2016-2018;Clupea harengus;Baltic Sea;ICES;22-24;Y;5234;14%;22%;N;-;FIDES Initial.Quantity = 2426
DK;2016-2018;Clupea harengus;Baltic Sea;ICES;25-29,32;N;8603;2%;5%;Y;8%;FIDES Initial.Quantity = 5045
DK;2016-2018;Clupea harengus;Baltic Sea;ICES;30;-;-;-;-;-;-;NA
DK;2016-2018;Clupea harengus;Baltic Sea;ICES;31;-;-;-;-;-;-;NA
DK;2016-2018;Clupea harengus;Baltic Sea;ICES;Gulf of Riga;-;-;-;-;-;-;NA
DK;2016-2018;Coregonus albula;Baltic Sea;ICES;22-32;-;-;-;-;-;-;NA
DK;2016-2018;Coregonus lavaretus;Baltic Sea;ICES;IIId;-;-;-;-;-;-;NA
DK;2016-2018;Gadus morhua;Baltic Sea;ICES;22-24;Y;3080;44%;48%;N;-;FIDES Initial.Quantity = 2444
DK;2016-2018;Gadus morhua;Baltic Sea;ICES;25-32;Y;5096;23%;25%;N;-;FIDES Initial.Quantity = 6521
DK;2016-2018;Limanda limanda;Baltic Sea;ICES;22-32;Y;301;-;26%;N;-;NA
DK;2016-2018;Perca fluviatilis;Baltic Sea;ICES;IIId;N;5;-;0%;Y;-;NA
DK;2016-2018;Platichthys flesus;Baltic Sea;ICES;22-32;N;914;-;5%;Y;-;NA
DK;2016-2018;Pleuronectes platessa;Baltic Sea;ICES;22-32;Y;1845;72%;58%;N;-;FIDES Initial.Quantity = 5070
DK;2016-2018;Psetta maxima;Baltic Sea;ICES;22-32;N;123;-;43%;Y;-;NA
DK;2016-2018;Salmo salar;Baltic Sea;ICES;22-31;N;33;21%;7%;Y;-;FIDES Initial.Quantity = 18885
DK;2016-2018;Salmo salar;Baltic Sea;ICES;32;-;-;-;-;-;-;NA
DK;2016-2018;Salmo trutta;Baltic Sea;ICES;22-32;N;4;-;1%;Y;-;NA
DK;2016-2018;Sander lucioperca;Baltic Sea;ICES;IIId;-;-;-;-;-;-;NA
DK;2016-2018;Scophthalmus rhombus;Baltic Sea;ICES;22-32;N;40;-;89%;Y;-;NA
DK;2016-2018;Solea solea;Baltic Sea;ICES;22;N;43;-;98%;Y;-;NA
DK;2016-2018;Sprattus sprattus;Baltic Sea;ICES;22-32;Y;23341;10%;10%;N;Sum of MS shares <10% = 26%%;FIDES Initial.Quantity = 25875
DK;2015;Alopias vulpinus;Mediterranean and Black Sea;GFCM;All areas;-;-;-;-;-;-;NA
DK;2015;Anguilla anguilla;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Aphia minuta;Mediterranean and Black Sea;GFCM;GSA 9,10,16 and 19;-;-;-;-;-;-;NA
DK;2015;Aristaeomorpha foliacea;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Aristeus antennatus;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Atherina spp;Mediterranean and Black Sea;GFCM;GSA 9,10,16 and 19;-;-;-;-;-;-;NA
DK;2015;Boops boops;Mediterranean and Black Sea;GFCM;1.3, 2.1, 2.2, 3.1, 3.2;-;-;-;-;-;-;NA
DK;2015;Carcharhinidae;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Centrophorus granulosus;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Centrophorus squamosus;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Centrophorus uyato;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Centroscymnus coelolepis;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Chelidonichthys lucerna;Mediterranean and Black Sea;GFCM;1.3, 2.2, 3.1;-;-;-;-;-;-;NA
DK;2015;Dalatias licha;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Dasyatidae;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Dasyatis centroura;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Dasyatis pastinaca;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Dasyatis violacea;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Dicentrarchus labrax;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Eledone cirrhosa;Mediterranean and Black Sea;GFCM;1.1, 1.3, 2.1, 2.2, 3.1;-;-;-;-;-;-;NA
DK;2015;Eledone moschata;Mediterranean and Black Sea;GFCM;1.3, 2.1, 2.2, 3.1;-;-;-;-;-;-;NA
DK;2015;Engraulis encrasicolus;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Engraulis encrasicolus;Mediterranean and Black Sea;GFCM;Black Sea GSA 29;-;-;-;-;-;-;NA
DK;2015;Etmopterus spinax;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Eutrigla gurnardus;Mediterranean and Black Sea;GFCM;2.2, 3.1;-;-;-;-;-;-;NA
DK;2015;Galeorhinus galeus;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Galeus melastomus;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Galeus spp;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Heptranchias perlo;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Hexanchus griseus;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Illex spp;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Isurus oxyrinchus;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Isurus oxyrinchus;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Lamna nasus;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Loligo vulgaris;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-;NA
DK;2015;Lophius budegassa;Mediterranean and Black Sea;GFCM;1.1, 1.2, 1.3, 2.2, 3.1;-;-;-;-;-;-;NA
DK;2015;Lophius piscatorius;Mediterranean and Black Sea;GFCM;1.1, 1.2, 1.3, 2.2, 3.1;-;-;-;-;-;-;NA
