Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
LTU;DEU000100601;8707745;MOD;2018-04-20;2021-01-04;759;KL 759;NIDA;LTKLJ;LYSA;Y;Y;Y;Y;Y;277336000;FX;OTM;NK;;;;;62.22;56.11;1943.00;0.00;0.00;1764.00;1244.00;2;1987-06-26;MFL;;;;1987-01-01
LTU;DNK000013689;8413394;MOD;2020-12-17;2021-03-08;904;KL 904;INSĖ;LTKLJ;LYBB;Y;Y;Y;Y;Y;277547000;FX;OTM;OTB;;;;;39.05;36.00;442.00;0.00;0.00;809.00;210.00;2;1985-06-01;MFL;;;PA;1985-01-01
LTU;DNK000013944;7003829;MOD;2020-10-12;2100-12-31;886;KL 886;GILIJA;LTKLJ;LYSK;Y;Y;Y;Y;Y;277354000;FX;OTM;NK;;;;;50.50;46.44;543.00;0.00;0.00;1400.00;1175.00;2;1973-12-31;MFL;;;;1973-01-01
LTU;DNK000014198;5362087;MOD;2019-11-05;2100-12-31;788;KL 788;TOVĖ;LTKLJ;LYSF;Y;Y;Y;Y;Y;277346000;FX;OTM;PTM;;;;;35.95;31.20;296.00;0.00;0.00;638.00;360.00;2;1961-01-01;MFL;;;;1961-01-01
LTU;DNK000014292;6714809;MOD;2021-01-01;2021-04-08;856;KL-856;MINGĖ;LTKLJ;LYAB;Y;Y;Y;Y;Y;277029000;FX;PTM;OTM;;;;;40.50;37.15;378.00;0.00;0.00;735.00;672.00;2;1967-01-01;MFL;;;PA;1967-01-01
LTU;EST010101056;8411023;IMP;2016-10-26;2100-12-31;898;KL 898;TAURUS;LTKLJ;LYAY;Y;Y;Y;Y;Y;277544000;FX;OTB;NK;;;;;58.00;52.05;1780.00;0.00;0.00;2475.00;1415.00;2;1985-01-01;MFL;EST;;PA;1985-01-01
LTU;FIN000101175;6726280;MOD;2019-09-25;2100-12-31;897;KL 897;RAMUS;LTKLJ;LYAX;Y;Y;Y;Y;Y;277543000;FX;OTM;OTB;;;;;33.60;30.00;233.00;0.00;0.00;736.00;268.00;2;1967-01-01;MFL;;;;1967-01-01
LTU;LTU000000001;;MOD;2008-06-22;2021-10-19;461;KL 461;LBB - 1032;LTKLJ;LYNI;Y;Y;Y;Y;Y;277207000;FX;OTB;OTM;;;;;25.50;0.00;118.00;0.00;0.00;221.00;25.20;2;1976-09-27;MFL;;;;1976-01-01
LTU;LTU000000004;8876649;MOD;2009-07-01;2100-12-31;431;KL 431;LBB - 1044;LTKLJ;LYNO;Y;Y;Y;Y;Y;277213000;FX;OTB;OTM;;;;;25.50;0.00;118.00;0.00;0.00;221.00;25.20;2;1977-06-28;MFL;;;;1977-01-01
LTU;LTU000000005;;MOD;2006-04-18;2021-10-19;412;KL 412;LBB - 1066;LTKLJ;LYNP;Y;Y;Y;Y;Y;277213000;FX;OTB;OTM;;;;;25.50;22.00;118.00;0.00;0.00;221.00;25.20;2;1981-10-31;MFL;;;;1981-01-01
