Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
NLD;BEL000041982;;MOD;2017-11-30;2100-12-31;BEL000041982;BR-9;BOURIC;BR;PA2442;Y;Y;Y;Y;N;;TU;OTB;FPO;;;;;14.36;0.00;14.00;0.00;0.00;83.00;0.00;2;2012-01-12;MFL;;;;1982-01-01
NLD;BEL000071985;;MOD;2019-08-01;2100-12-31;BEL000071985;OL-5;JACOB SR.;OL;PDKV;Y;Y;Y;Y;Y;244170523;TU;TBB;NO;;;;;19.10;0.00;57.00;0.00;0.00;221.00;0.00;2;1985-03-22;MFL;;;;1985-01-01
NLD;BEL001191970;8432601;MOD;2020-01-15;2021-06-01;BEL001191970;WR-27;VISAREND;NLWRG;PDPG;Y;Y;Y;Y;Y;244052000;MO;TBB;NO;;;;;22.55;0.00;66.00;0.00;0.00;220.00;13.00;2;1992-06-30;MFL;;;;1970-01-01
NLD;BEL001391987;;MOD;2011-01-01;2100-12-31;BEL001391987;TX-50;DENEB;TX;;N;Y;N;;;;FX;TBB;OTM;;;;;11.10;0.00;9.00;0.00;0.00;66.00;0.00;2;1997-11-10;MFL;;;;1987-01-01
NLD;BEL010821987;8431803;MOD;2017-07-11;2100-12-31;BEL010821987;WL-18;VRIJHEID;WL;PIIW;Y;Y;Y;Y;Y;245504000;DB;TBB;NO;;;;;20.86;0.00;50.00;0.00;0.00;221.00;56.00;2;1994-10-17;MFL;;;;1987-01-01
NLD;BEL012111971;;MOD;2017-09-29;2021-01-14;BEL012111971;UK-190;GERRIT SENIOR;UK;PBAY;Y;Y;Y;Y;Y;244810702;MTG;OTB;NO;;;;;14.95;0.00;28.00;0.00;0.00;194.00;37.00;2;1999-08-23;MFL;;;;1971-01-01
NLD;BEL025181998;8740797;MOD;2019-06-04;2100-12-31;BEL025181998;UK-136;DRAKKAR;UK;PBJS;Y;Y;Y;Y;Y;244150372;MO;TBB;NO;;;;;37.81;0.00;384.00;0.00;0.00;1471.00;833.00;2;1998-06-26;MFL;;;;1998-01-01
NLD;BEL030381986;8412326;MOD;2018-08-13;2100-12-31;BEL030381986;VD-6;BRIGITTA;VD;PDGY;Y;Y;Y;Y;Y;244165000;TU;TBB;OTB;;;;;24.54;0.00;75.00;0.00;0.00;221.00;0.00;2;1995-07-06;MFL;;;;1986-01-01
NLD;BEL032071985;;MOD;2018-02-01;2100-12-31;BEL032071985;UK-368;PETRONELLA;UK;PBBC;Y;Y;Y;Y;Y;244157000;TU;TBB;NO;;;;;23.77;0.00;78.00;0.00;0.00;221.00;110.00;2;2001-04-04;MFL;;;;1985-01-01
NLD;BEL034301957;;MOD;2017-05-31;2100-12-31;BEL034301957;UK-94;JAN VAN CEES;UK;PBBF;Y;Y;Y;Y;Y;244792000;TU;TBB;NO;;;;;19.75;0.00;51.00;0.00;0.00;221.00;65.00;2;2000-02-17;MFL;;;;1957-01-01
NLD;BEL035541964;8433186;MOD;2017-09-05;2100-12-31;BEL035541964;UK-271;ESTER JACOBA;UK;PCFC;Y;Y;Y;Y;Y;244721000;TU;TBB;NO;;;;;22.25;0.00;50.00;0.00;0.00;221.00;70.00;2;1998-10-09;MFL;;;;1964-01-01
NLD;BEL040521984;8985153;MOD;2019-02-15;2022-01-20;BEL040521984;TX-33;NOVA SPES;NLTEX;PBQJ;Y;Y;Y;Y;Y;244570000;TU;TBB;GNS;;;;;23.90;0.00;106.00;0.00;0.00;221.00;124.00;2;1999-09-30;MFL;;;;1984-01-01
NLD;BEL044021963;;MOD;2017-08-14;2100-12-31;BEL044021963;LO-7;ZWERVER;LO;PBBD;Y;Y;Y;Y;Y;244175000;TU;TBB;NO;;;;;23.78;0.00;97.00;0.00;0.00;221.00;85.00;2;2001-01-18;MFL;;;;1963-01-01
NLD;DEU000060400;7022485;MOD;2017-03-10;2022-02-21;DEU000060400;UK-5;VANTAGE;NLURK;PCMX;Y;Y;Y;Y;Y;246833000;MO;TBB;OTB;;;;;31.65;0.00;174.00;0.00;0.00;736.00;60.00;2;2012-11-12;MFL;;;;1970-01-01
NLD;DEU000590300;8100612;MOD;2011-08-17;2100-12-31;DEU000590300;HA-36;SCHILLHÖRN;HA;PHJJ;Y;Y;Y;Y;Y;245647000;DM;DRB;NO;;;;;39.30;0.00;257.00;0.00;0.00;714.00;636.00;2;1993-07-28;MFL;;;PA;1981-01-01
NLD;DEU200650219;8432558;MOD;2016-11-04;2100-12-31;DEU200650219;WL-33;WILLEM ANNE;WL;PCSG;Y;Y;Y;Y;Y;245715000;TU;TBB;OTB;;;;;20.25;0.00;58.00;0.00;0.00;221.00;40.00;2;1993-04-06;MFL;;;;1976-01-01
NLD;DEU400290107;;MOD;2015-12-21;2100-12-31;DEU400290107;IJM-31;MERON IV;IJM;PBNW;Y;Y;Y;Y;N;;FX;TBB;NO;;;;;14.35;0.00;24.00;0.00;0.00;221.00;45.00;3;2014-06-26;MFL;;;;1983-01-01
