"Country_Code";"CFR";"UVI";"Event_Code";"Event_Start_Date";"Event_End_Date";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"IRCS";"IRCS_Code";"License_Ind";"Vms_Code";"ERS_Code";"AIS_Code";"MMSI";"Vessel_Type";"Gear_Main_Code";"Gear_1_Code";"Gear_2_Code";"Gear_3_Code";"Gear_4_Code";"Gear_5_Code";"Loa";"Lbp";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Date";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Construction_Year"
"POL";"DEU001280602";NA;"IMP";20140408;21001231;"PL02280";"KOŁ-288";"No name";"0225";"SPS3130";"Y";"Y";"Y";"Y";"N";NA;"FX";"OTB";"PTM";"GNS";"LLD";"OTM";"LLS";"12.01";"10.10";"31.48";"0.00";"0.00";"110.00";"0.00";2;"2001-12-18";"MFL";"DEU";NA;"PA";"2001-01-01"
"POL";"DEU002120300";9048902;"MOD";20200124;20211012;"PL02309";"GDY-58";"POLONUS";"0352";"SNLE";"Y";"Y";"Y";"Y";"Y";261536000;"TTP";"OTB";"PTB";"OTP";"OTM";"PT";"TBS";"80.35";"73.65";"2348.00";"0.00";"0.00";"3000.00";"536.00";2;"1992-12-31";"MFL";"";NA;"";"1992-01-01"
"POL";"DEU300540207";NA;"MOD";20150916;21001231;"PL01995";"WŁA-44";"No name";"0345";"SPG2761";"Y";"Y";"N";"N";"N";NA;"FX";"GNS";"FPO";"LLS";"LLD";"";"";"10.52";"9.55";"9.48";"0.00";"0.00";"50.00";"0.00";3;"1983-05-20";"MFL";"";NA;"";"1982-01-01"
"POL";"DNK000011127";NA;"IMP";20200521;20211201;"PL02324";"JAS-136";"No name";"0338";"SPG3942";"Y";"Y";"N";"N";"N";NA;"FX";"GNS";"LLD";"LLS";"FPO";"";"";"7.99";"7.16";"2.06";"0.00";"0.00";"29.30";"0.00";3;"1973-01-01";"MFL";"DNK";NA;"PA";"1973-01-01"
"POL";"DNK000012227";NA;"MOD";20170518;21001231;"PL02144";"JAS-79";"No name";"0338";"SPG3293";"Y";"Y";"Y";"Y";"N";NA;"FX";"OTB";"LLD";"PTB";"LLS";"GNS";"PTM";"13.56";"12.28";"20.38";"0.00";"0.00";"121.00";"0.00";1;"1960-07-01";"MFL";"";NA;"";"1960-01-01"
"POL";"DNK000012260";NA;"MOD";20200423;21001231;"PL02114";"NIE-21";"No name";"0122";"SPS2764";"Y";"Y";"N";"N";"N";NA;"GO";"GNS";"LLS";"FPO";"LLD";"";"";"8.26";"7.45";"4.11";"0.00";"0.00";"32.50";"0.00";3;"1987-10-15";"MFL";"";NA;"";"1977-01-01"
"POL";"DNK000013165";NA;"MOD";20200716;21001231;"PL02314";"DAR-348";"No name";"0232";"SPS3574";"Y";"Y";"N";"N";"Y";261038790;"WO";"GNS";"FPO";"LLD";"LLS";"LHP";"LHM";"8.88";"7.64";"3.80";"0.00";"0.00";"63.00";"0.00";3;"1986-01-01";"MFL";"";NA;"";"1985-01-01"
"POL";"DNK000013667";NA;"IMP";20171009;21001231;"PL02311";"WŁA-187";"WŁA-187 AUGUSTYN";"0345";"SPG4557";"Y";"Y";"Y";"Y";"Y";261036610;"FX";"OTM";"OTB";"GNS";"";"";"";"19.09";"16.19";"61.00";"0.00";"0.00";"294.00";"21.51";2;"1982-12-01";"MFL";"DNK";NA;"PA";"1982-01-01"
"POL";"DNK000013985";NA;"MOD";20190506;21001231;"PL02051";"ŚWI-24";"No name";"0118";"SPS2662";"Y";"Y";"Y";"Y";"Y";261013080;"TSW";"OTB";"OTM";"LLS";"PTM";"FPO";"GNS";"13.90";"12.69";"23.98";"0.00";"0.00";"169.00";"0.00";1;"1961-09-19";"MFL";"";NA;"";"1961-01-01"
"POL";"IRL000I13000";9204556;"IMP";20180927;21001231;"PL02315";"GDY-151";"ANNELIES ILENA";"PLGDY";"SPG4839";"Y";"Y";"Y";"Y";"Y";261084090;"TT";"OTM";"PTM";"";"";"";"";"144.60";"134.30";"14055.00";"0.00";"0.00";"14400.00";"6720.00";2;"2000-08-17";"MFL";"NLD";NA;"PA";"1999-01-01"
"POL";"NLD198200977";8128573;"MOD";20180829;21001231;"PL02182";"WŁA-84";"No name";"0345";"SPG3578";"Y";"Y";"Y";"Y";"Y";261020840;"TTW";"OTB";"OTM";"PTB";"LLD";"PTM";"";"26.65";"24.52";"125.00";"0.00";"0.00";"294.00";"225.00";2;"1982-06-30";"MFL";"";NA;"";"1981-01-01"
"POL";"POL010101686";NA;"MOD";20130325;20210419;"PL01686";"STŁ-10";"No name";"0101";"";"N";"Y";"N";"N";"N";NA;"FX";"FPO";"GTR";"GNS";"";"";"";"7.62";"6.95";"1.72";"0.00";"0.00";"8.50";"0.00";1;"1965-05-08";"MFL";"";NA;"";"1959-01-01"
"POL";"POL010101687";NA;"MOD";20191212;21001231;"PL01687";"TRB-77";"No name";"0106";"SPS3302";"Y";"Y";"N";"N";"Y";261030680;"FX";"FPO";"GNS";"GTR";"";"";"";"8.20";"7.27";"3.09";"0.00";"0.00";"20.20";"0.00";1;"1992-08-31";"MFL";"";NA;"";"1992-01-01"
"POL";"POL010101690";NA;"MOD";20200218;21001231;"PL01690";"STŁ-38";"No name";"0101";"";"N";"Y";"N";"N";"N";NA;"FX";"FPO";"GTR";"GNS";"";"";"";"7.40";"6.56";"1.97";"0.00";"0.00";"30.90";"0.00";4;"1969-04-03";"MFL";"";NA;"";"1968-01-01"
"POL";"POL010101693";NA;"MOD";20160209;21001231;"PL01693";"STŁ-47";"No name";"0101";"";"N";"Y";"N";"N";"N";NA;"FX";"FPO";"GNS";"LLS";"GTR";"";"";"7.48";"6.77";"1.95";"0.00";"0.00";"39.70";"0.00";4;"1971-03-15";"MFL";"";NA;"";"1970-01-01"
