"Country_Code";"CFR";"UVI";"Event_Code";"Event_Start_Date";"Event_End_Date";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"IRCS";"IRCS_Code";"License_Ind";"Vms_Code";"ERS_Code";"AIS_Code";"MMSI";"Vessel_Type";"Gear_Main_Code";"Gear_1_Code";"Gear_2_Code";"Gear_3_Code";"Gear_4_Code";"Gear_5_Code";"Loa";"Lbp";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Date";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Construction_Year"
"EST";"DNK000013170";7637292;"IMP";20211220;21001231;"910";"EK-2102";"MILTON";"EEHKS";"ESLV";"Y";"Y";"Y";"Y";"Y";276863000;"TO";"OTB";"OTM";"";"";NA;NA;"31.7";"28.24";"182";0;0;"749";"152.5";2;"30/12/1978";"MFL";"FIN";"";"PA";"01/01/1978"
"EST";"ESP000015587";8619699;"IMP";20161215;20211206;"772";"EK-1602";"LENNUK";"EETLL";"ESKT";"Y";"Y";"Y";"Y";"Y";276831000;"TO";"OTB";"NO";"";"";NA;NA;"56.2";"46";"971";0;0;"904";"592";2;"31/12/1988";"MFL";"ESP";"";"PA";"01/01/1988"
"EST";"ESP000015587";8619699;"MOD";20211207;20220725;"772";"EK-1602";"LENNUK";"EETLL";"ESKT";"Y";"Y";"Y";"Y";"Y";276831000;"TO";"OTB";"NO";"";"";NA;NA;"56.2";"46";"971";0;0;"904";"592";2;"31/12/1988";"MFL";"";"";"PA";"01/01/1988"
"EST";"ESP000015587";8619699;"MOD";20220726;21001231;"772";"EK-1602";"LENNUK";"EETLL";"ESKT";"Y";"Y";"Y";"Y";"Y";276831000;"TO";"OTB";"NO";"";"";NA;NA;"56.2";"46";"971";0;0;"904";"592";2;"31/12/1988";"MFL";"";"";"PA";"01/01/1988"
"EST";"EST000202119";NA;"CEN";20040501;21001231;"6S000219";"BSA-484";"BSA-484";"EEXAH";"";"N";"Y";"N";"N";"N";NA;"GO";"GNS";"NO";"";"";NA;NA;"5.5";"5.28";"0.3";0;0;"0";"0";1;"31/12/1997";"MFL";"";"";"";"01/01/1997"
"EST";"EST000314164";NA;"CEN";20040501;20200302;"6M000099";"BMA-198";"BMA-198";"EENJS";"";"N";"Y";"N";"N";"N";NA;"GO";"GNS";"FPO";"";"";NA;NA;"8.1";"7.78";"2.31";0;0;"18.39";"0";2;"31/12/1990";"MFL";"";"";"";"01/01/1990"
"EST";"EST000314164";NA;"MOD";20200303;20220706;"BMA-198";"BMA-198";"BMA-198";"EENJS";"";"N";"Y";"N";"N";"N";NA;"GO";"GNS";"FPO";"";"";NA;NA;"8.1";"7.78";"2.31";0;0;"18.39";"0";2;"31/12/1990";"MFL";"";"";"PA";"01/01/1990"
"EST";"EST000314164";NA;"MOD";20220707;21001231;"BMA-198";"BMA-198";"BMA-198";"EENJS";"";"N";"Y";"N";"N";"N";NA;"GO";"GNS";"FPO";"";"";NA;NA;"8.1";"7.78";"2.31";0;0;"3.39";"0";2;"31/12/1990";"MFL";"";"";"PA";"01/01/1990"
"EST";"EST000403160";NA;"CEN";20040501;21001231;"6M000169";"BMA-263";"BMA-263";"N05";"";"N";"Y";"N";"N";"N";NA;"GO";"FPO";"GNS";"";"";NA;NA;"4.65";"4.46";"0.8";0;0;"22.06";"0";2;"31/12/1980";"MFL";"";"";"";"01/01/1980"
"EST";"EST000606348";NA;"CEN";20040501;20180417;"3M000254";"SMA-299";"JOHANNA";"EEVEE";"ES2427";"Y";"Y";"N";"N";"N";NA;"WO";"OTB";"OTM";"";"";NA;NA;"10.28";"9.87";"6.9";0;0;"202";"0";3;"31/12/1993";"MFL";"";"";"";"01/01/1993"
