"Country_Code";"CFR";"UVI";"Event_Code";"Event_Start_Date";"Event_End_Date";"Registration_Nbr";"Ext_Marking";"Vessel_Name";"Port_Code";"Port_Name";"IRCS";"IRCS_Code";"License_Ind";"Vms_Code";"ERS_Code";"ERS_Exempt_Code";"AIS_Code";"MMSI";"Vessel_Type";"Gear_Main_Code";"Gear_1_Code";"Gear_2_Code";"Gear_3_Code";"Gear_4_Code";"Gear_5_Code";"Loa";"Lbp";"Ton_Gt";"Ton_Oth";"Ton_Gts";"Power_Main";"Power_Aux";"Hull_Material";"Com_Date";"Segment";"Exp_Country";"Exp_Type";"Public_Aid_Code";"Construction_Year"
"BEL";"BEL000021964";8523448;"CEN";19890101;19910417;2;"A.2";"NANCY";"ANTWE";"";"OPAB";"Y";"N";"N";"Y";"";"N";NA;"FX";"TBB";"NO";NA;NA;NA;NA;"21.39";"18.66";"53.00";"50.72";"0.00";"213.00";"0.00";2;"1975-03-26";"BIN";"";"";"";"1964-01-01"
"BEL";"BEL000021964";8523448;"MOD";19910418;19911231;2;"A.2";"NANCY";"ANTWE";"";"OPAB";"Y";"N";"N";"Y";"";"N";NA;"FX";"TBB";"NO";NA;NA;NA;NA;"21.39";"18.66";"53.00";"0.00";"0.00";"213.00";"0.00";2;"1975-03-26";"BIN";"";"";"";"1964-01-01"
"BEL";"BEL000021964";8523448;"MOD";19920101;19940728;2;"O.2";"NANCY";"OOSTE";"";"OPAB";"Y";"Y";"N";"Y";"";"N";NA;"FX";"TBB";"NO";NA;NA;NA;NA;"21.39";"19.94";"53.00";"0.00";"0.00";"213.00";"0.00";2;"1975-03-26";"E10";"";"";"";"1964-01-01"
"BEL";"BEL000021964";8523448;"MOD";19940729;19961231;2;"O.2";"NANCY";"OOSTE";"";"OPAB";"Y";"Y";"N";"Y";"";"N";NA;"FX";"TBB";"NO";NA;NA;NA;NA;"21.39";"19.94";"53.00";"0.00";"0.00";"213.00";"0.00";2;"1975-03-26";"C10";"";"";"";"1964-01-01"
"BEL";"BEL000021964";8523448;"MOD";19970101;20021231;2;"O.2";"NANCY";"OOSTE";"";"OPAB";"Y";"Y";"Y";"Y";"";"N";NA;"FX";"TBB";"NO";NA;NA;NA;NA;"21.39";"19.94";"53.00";"0.00";"0.00";"213.00";"0.00";2;"1975-03-26";"4A1";"";"";"";"1964-01-01"
"BEL";"BEL000021964";8523448;"MOD";20030101;20060201;2;"O.2";"NANCY";"OOSTE";"";"OPAB";"Y";"Y";"Y";"Y";"";"N";NA;"FX";"TBB";"NO";NA;NA;NA;NA;"21.39";"19.94";"53.00";"0.00";"0.00";"213.00";"0.00";2;"1975-03-26";"MFL";"";"";"";"1964-01-01"
"BEL";"BEL000021964";8523448;"MOD";20060202;20150326;2;"O.2";"NANCY";"OOSTE";"";"OPAB";"Y";"Y";"Y";"Y";"";"N";NA;"FX";"TBB";"OTB";NA;NA;NA;NA;"21.39";"18.66";"53.00";"0.00";"0.00";"213.00";"0.00";2;"1975-03-26";"MFL";"";"";"";"1964-01-01"
"BEL";"BEL000021964";8523448;"MOD";20150327;20200908;2;"O.2";"MIKE MICHEL JR";"OOSTE";"";"OPAB";"Y";"Y";"Y";"Y";"";"N";NA;"FX";"TBB";"OTB";NA;NA;NA;NA;"21.39";"18.66";"53.00";"0.00";"0.00";"213.00";"0.00";2;"1975-03-26";"MFL";"";"";"";"1964-01-01"
"BEL";"BEL000021964";8523448;"MOD";20200909;20200909;2;"O.2";"MIKE MICHEL JR";"OOSTE";"";"OPAB";"Y";"Y";"Y";"Y";"";"Y";205308000;"FX";"TBB";"OTB";NA;NA;NA;NA;"21.39";"18.66";"53.00";"0.00";"0.00";"213.00";"0.00";2;"1975-03-26";"MFL";"";"";"";"1964-01-01"
"BEL";"BEL000021964";8523448;"MOD";20200910;20210117;2;"O.2";"MIKE MICHEL JR";"OOSTE";"";"OPAB";"Y";"Y";"Y";"Y";"";"Y";205308000;"FX";"TBB";"OTB";NA;NA;NA;NA;"21.39";"18.66";"53.00";"0.00";"0.00";"213.00";"0.00";2;"1975-03-26";"MFL";"";"";"";"1964-01-01"
"BEL";"BEL000021964";8523448;"MOD";20210118;20230226;2;"O.2";"MIKE MICHEL JR";"BEOST";"Oostende (Ostend)";"OPAB";"Y";"Y";"Y";"Y";"";"Y";205308000;"FX";"TBB";"OTB";NA;NA;NA;NA;"21.39";"18.66";"53.00";"0.00";"0.00";"213.00";"0.00";2;"1975-03-26";"MFL";"";"";"";"1964-01-01"
"BEL";"BEL000021964";8523448;"DES";20230227;20230227;2;"O.2";"MIKE MICHEL JR";"BEOST";"Oostende (Ostend)";"OPAB";"Y";"Y";"Y";"Y";"N";"Y";205308000;"FX";"TBB";"OTB";NA;NA;NA;NA;"21.39";"18.66";"53.00";"0.00";"0.00";"213.00";"0.00";2;"1975-03-26";"MFL";"";"";"";"1964-01-01"
"BEL";"BEL000071985";NA;"CEN";19890101;19911231;7;"BOU.7";"DE ENIGE ZOON";"BOEKH";"";"OPAG";"Y";"Y";"N";"Y";"";"N";NA;"TU";"TBB";"NO";NA;NA;NA;NA;"16.67";"13.17";"57.00";"0.00";"0.00";"219.00";"0.00";2;"1986-06-06";"EST";"";"";"";"1985-01-01"
"BEL";"BEL000071985";NA;"MOD";19920101;19940531;7;"BOU.7";"DE ENIGE ZOON";"BOEKH";"";"OPAG";"Y";"Y";"N";"Y";"";"N";NA;"TU";"TBB";"NO";NA;NA;NA;NA;"16.67";"13.17";"57.00";"0.00";"0.00";"219.00";"0.00";2;"1986-06-06";"E10";"";"";"";"1985-01-01"
"BEL";"BEL000071985";NA;"MOD";19940601;19961231;7;"BOU.7";"DE ENIGE ZOON";"BOEKH";"";"OPAG";"Y";"Y";"N";"Y";"";"N";NA;"TU";"TBB";"NO";NA;NA;NA;NA;"16.67";"13.17";"57.00";"0.00";"0.00";"219.00";"0.00";2;"1986-06-06";"C10";"";"";"";"1985-01-01"
"BEL";"BEL000071985";NA;"MOD";19970101;20021231;7;"BOU.7";"DE ENIGE ZOON";"BOEKH";"";"OPAG";"Y";"Y";"Y";"Y";"";"N";NA;"TU";"TBB";"NO";NA;NA;NA;NA;"16.67";"13.17";"57.00";"0.00";"0.00";"219.00";"0.00";2;"1986-06-06";"4A1";"";"";"";"1985-01-01"
"BEL";"BEL000071985";NA;"MOD";20030101;20060228;7;"BOU.7";"DE ENIGE ZOON";"BOEKH";"";"OPAG";"Y";"Y";"Y";"Y";"";"N";NA;"TU";"TBB";"NO";NA;NA;NA;NA;"16.67";"13.17";"57.00";"0.00";"0.00";"219.00";"0.00";2;"1986-06-06";"MFL";"";"";"";"1985-01-01"
"BEL";"BEL000071985";NA;"MOD";20060301;20060612;7;"BOU.7";"DE ENIGE ZOON";"BOEKH";"";"OPAG";"Y";"Y";"Y";"Y";"";"N";NA;"TU";"TBB";"NO";NA;NA;NA;NA;"19.10";"16.67";"57.00";"0.00";"0.00";"218.00";"0.00";2;"1986-06-06";"MFL";"";"";"";"1985-01-01"
"BEL";"BEL000071985";NA;"MOD";20060613;20180423;7;"BOU.7";"DE ENIGE ZOON";"BOEKH";"";"OPAG";"Y";"Y";"Y";"Y";"";"N";NA;"TU";"TBB";"NO";NA;NA;NA;NA;"19.10";"16.67";"57.00";"0.00";"0.00";"219.00";"0.00";2;"1986-06-06";"MFL";"";"";"";"1985-01-01"
"BEL";"BEL000071985";NA;"EXP";20180424;20180424;7;"BOU.7";"DE ENIGE ZOON";"BOEKH";"";"OPAG";"Y";"Y";"Y";"Y";"";"N";NA;"TU";"TBB";"NO";NA;NA;NA;NA;"19.10";"16.67";"57.00";"0.00";"0.00";"219.00";"0.00";2;"1986-06-06";"MFL";"NLD";"EX";"PA";"1985-01-01"
"BEL";"BEL000081967";8341096;"CEN";19890101;19890330;8;"K.8";"YVONNE";"KIELD";"";"OPAH";"Y";"N";"N";"Y";"";"N";NA;"FX";"TBB";"NO";NA;NA;NA;NA;"21.91";"19.31";"56.00";"0.00";"0.00";"220.00";"0.00";2;"1967-07-01";"EST";"";"";"";"1967-01-01"
"BEL";"BEL000081967";8341096;"MOD";19890331;19911231;8;"K.8";"AQUARIUS";"KIELD";"";"OPAH";"Y";"N";"N";"Y";"";"N";NA;"FX";"TBB";"NO";NA;NA;NA;NA;"21.91";"19.31";"56.00";"0.00";"0.00";"220.00";"0.00";2;"1967-07-01";"EST";"";"";"";"1967-01-01"
"BEL";"BEL000081967";8341096;"MOD";19920101;19930204;8;"Z.8";"AQUARIUS";"ZEEBR";"";"OPAH";"Y";"Y";"N";"Y";"";"N";NA;"FX";"TBB";"NO";NA;NA;NA;NA;"21.91";"19.31";"56.00";"0.00";"0.00";"220.00";"0.00";2;"1967-07-01";"E10";"";"";"";"1967-01-01"
"BEL";"BEL000081967";8341096;"MOD";19930205;19941103;8;"K.8";"AQUARIUS";"KIELD";"";"OPAH";"Y";"N";"N";"Y";"";"N";NA;"FX";"TBB";"NO";NA;NA;NA;NA;"21.91";"19.31";"56.00";"0.00";"0.00";"220.00";"0.00";2;"1967-07-01";"C10";"";"";"";"1967-01-01"
"BEL";"BEL000081967";8341096;"MOD";19941104;19961231;8;"Z.8";"AQUARIUS";"ZEEBR";"";"OPAH";"Y";"Y";"N";"Y";"";"N";NA;"FX";"TBB";"NO";NA;NA;NA;NA;"21.91";"19.31";"56.00";"0.00";"0.00";"220.00";"0.00";2;"1967-07-01";"C10";"";"";"";"1967-01-01"
"BEL";"BEL000081967";8341096;"MOD";19970101;20021231;8;"Z.8";"AQUARIUS";"ZEEBR";"";"OPAH";"Y";"Y";"Y";"Y";"";"N";NA;"FX";"TBB";"NO";NA;NA;NA;NA;"21.91";"19.31";"56.00";"0.00";"0.00";"220.00";"0.00";2;"1967-07-01";"4A1";"";"";"";"1967-01-01"
"BEL";"BEL000081967";8341096;"MOD";20030101;20060205;8;"Z.8";"AQUARIUS";"ZEEBR";"";"OPAH";"Y";"Y";"Y";"Y";"";"N";NA;"FX";"TBB";"NO";NA;NA;NA;NA;"21.91";"19.31";"56.00";"0.00";"0.00";"220.00";"0.00";2;"1967-07-01";"MFL";"";"";"";"1967-01-01"
"BEL";"BEL000081967";8341096;"MOD";20060206;20171106;8;"Z.8";"AQUARIUS";"ZEEBR";"";"OPAH";"Y";"Y";"Y";"Y";"";"N";NA;"FX";"TBB";"OTB";NA;NA;NA;NA;"21.91";"19.31";"56.00";"0.00";"0.00";"220.00";"0.00";2;"1967-07-01";"MFL";"";"";"";"1967-01-01"
